"Symbol","trade_date","close_price","volume","daily_return_pct","ma_7day","ma_30day"
"GOOGL","2024-05-16","172.87","27867900","0.51","169.32","161.24"
"AAPL","2024-05-16","188.56","52845200","-0.33","184.91","173.54"
"NVDA","2024-05-16","94.31","323952000","-0.58","91.35","86.99"
"TSLA","2024-05-16","174.84","59812200","0.43","173.35","169.50"
"MSFT","2024-05-16","416.32","17530100","-0.19","410.85","406.15"
"META","2024-05-16","470.45","16608200","-0.37","471.33","477.17"
"AMZN","2024-05-16","183.63","38834500","-1.06","186.89","183.25"
"GOOGL","2024-05-15","171.22","26948400","1.10","168.90","160.46"
"AAPL","2024-05-15","188.44","70400000","0.96","183.82","172.84"
"AMZN","2024-05-15","185.99","75459900","0.01","187.62","183.12"
"TSLA","2024-05-15","173.99","79663000","-3.29","173.77","169.38"
"NVDA","2024-05-15","94.58","417735000","2.33","90.81","86.70"
"META","2024-05-15","478.71","13100500","1.38","470.62","478.42"
"MSFT","2024-05-15","418.39","22239500","1.24","409.10","406.02"
"AAPL","2024-05-14","186.17","52393600","-0.04","182.64","172.17"
"TSLA","2024-05-14","177.55","86407400","1.75","175.31","169.19"
"GOOGL","2024-05-14","169.06","25127100","0.34","168.28","159.88"
"META","2024-05-14","469.07","10478600","1.83","468.37","479.25"
"NVDA","2024-05-14","91.31","296507000","1.96","90.45","86.52"
"AMZN","2024-05-14","187.07","38698200","1.77","188.01","183.01"
"MSFT","2024-05-14","411.20","15109300","1.10","407.65","405.91"
"GOOGL","2024-05-13","167.87","31327600","2.97","167.84","159.36"
"TSLA","2024-05-13","171.89","67018900","1.11","175.83","168.83"
"AMZN","2024-05-13","186.57","24898600","-0.76","187.89","182.79"
"NVDA","2024-05-13","90.35","289680000","-0.09","90.08","86.45"
"AAPL","2024-05-13","185.02","72044800","0.45","182.03","171.54"
"MSFT","2024-05-13","408.40","15440200","-1.03","406.26","406.07"
"META","2024-05-13","465.26","14668800","-1.00","465.55","480.10"
"META","2024-05-10","473.40","10750000","-0.19","461.81","480.87"
"GOOGL","2024-05-10","167.39","29799900","0.37","167.48","158.91"
"MSFT","2024-05-10","409.40","13402300","0.44","404.02","406.43"
"NVDA","2024-05-10","89.83","335325000","-0.47","89.43","86.45"
"AMZN","2024-05-10","187.48","34141800","-0.89","187.62","182.61"
"AAPL","2024-05-10","181.82","50759500","-1.00","180.12","171.00"
